NVERTS 44
NFACES 64

VERTEX
0, -33.4000015, 17.1999989
0, -0.0710692, 24.2710667
-5.1999998, -0.0710692, 22.1999989
-7.2710695, -0.0710692, 17.1999969
-5.1999998, -0.0710692, 12.1999989
0, -0.0710692, 10.1289301
0, 0.4000001, 35.7999992
-7.2710695, 7, 24.2710667
-43, 5.5999999, 17.1999969
-7.2710695, 7, 10.128932
0, 7, 7.1999979
0, 14.0710697, 24.2710667
-5.1999998, 14.0710697, 22.1999989
-7.2710695, 14.0710697, 17.1999969
-5.1999998, 14.0710697, 12.1999989
0, 14.0710697, 10.1289301
0, 42.4000015, 17.1999989
-33.4000015, 5.5999999, 27.1999989
-23, 5.1999998, 7.1999979
-25.9289303, -1.8710661, 7.1999979
-33, -4.8000002, 7.1999979
-40.0710678, -1.8710661, 7.1999979
-43, 5.1999998, 7.1999979
-40.0710678, 12.2710695, 7.1999979
-33, 15.1999998, 7.1999998
-25.9289303, 12.2710695, 7.1999979
5.1999998, -0.0710692, 22.1999989
7.2710695, -0.0710692, 17.1999969
5.1999998, -0.0710692, 12.1999989
7.2710695, 7, 24.2710667
43, 5.5999999, 17.1999969
7.2710695, 7, 10.128932
5.1999998, 14.0710697, 22.1999989
7.2710695, 14.0710697, 17.1999969
5.1999998, 14.0710697, 12.1999989
33.4000015, 5.5999999, 27.1999989
23, 5.1999998, 7.1999979
25.9289303, -1.8710661, 7.1999979
33, -4.8000002, 7.1999979
40.0710678, -1.8710661, 7.1999979
43, 5.1999998, 7.1999979
40.0710678, 12.2710695, 7.1999979
33, 15.1999998, 7.1999998
25.9289303, 12.2710695, 7.1999979

FACES
127,127,127,	-0.846944,0.350816,0.399517,	3,	17,23,22
127,127,127,	-0.842154,-0.348832,0.411210,	3,	17,22,21
127,127,127,	-0.345969,-0.835242,0.427406,	3,	17,21,20
127,127,127,	-0.350816,0.846944,0.399517,	3,	17,24,23
127,127,127,	0.343908,-0.830267,0.438617,	3,	17,20,19
127,127,127,	0.348831,0.842154,0.411210,	3,	17,25,24
127,127,127,	0.830267,-0.343908,0.438617,	3,	17,19,18
127,127,127,	0.835242,0.345968,0.427407,	3,	18,25,17
127,127,127,	-0.165342,0.697374,-0.697375,	3,	13,9,8
127,127,127,	-0.111535,-0.702695,-0.702695,	3,	3,8,9
127,127,127,	-0.171556,-0.322863,0.930767,	3,	2,7,8
127,127,127,	-0.156433,-0.985561,0.064797,	3,	8,3,2
127,127,127,	-0.195754,0.328017,0.924167,	3,	12,8,7
127,127,127,	-0.229651,0.968613,0.095125,	3,	8,12,13
127,127,127,	-0.862856,0.357407,-0.357407,	3,	9,13,14
127,127,127,	-0.862856,-0.357407,-0.357407,	3,	9,4,3
127,127,127,	-0.905667,-0.197581,0.375140,	3,	3,0,2
127,127,127,	-0.905667,-0.197581,-0.375140,	3,	4,0,3
127,127,127,	-0.898951,0.230730,0.372358,	3,	16,13,12
127,127,127,	-0.898951,0.230730,-0.372358,	3,	16,14,13
127,127,127,	-0.345828,-0.355610,0.868300,	3,	7,2,1
127,127,127,	-0.345828,0.355610,0.868300,	3,	7,11,12
127,127,127,	-0.349147,-0.356130,-0.866757,	3,	4,9,10
127,127,127,	-0.349147,0.356130,-0.866757,	3,	14,10,9
127,127,127,	-0.531181,0.546205,0.647693,	3,	11,7,6
127,127,127,	-0.696880,-0.716590,0.029280,	3,	1,6,7
127,127,127,	-0.363030,-0.193382,0.911489,	3,	2,0,1
127,127,127,	-0.363030,-0.193382,-0.911489,	3,	5,0,4
127,127,127,	-0.360450,0.225896,0.905012,	3,	16,12,11
127,127,127,	-0.360450,0.225896,-0.905012,	3,	16,15,14
127,127,127,	-0.345329,-0.359141,-0.867044,	3,	10,5,4
127,127,127,	-0.345329,0.359141,-0.867044,	3,	10,14,15
127,127,127,	0.345329,0.359141,-0.867044,	3,	15,34,10
127,127,127,	0.345329,-0.359141,-0.867044,	3,	28,5,10
127,127,127,	0.360450,0.225896,-0.905012,	3,	34,15,16
127,127,127,	0.360450,0.225896,0.905012,	3,	11,32,16
127,127,127,	0.363030,-0.193382,-0.911489,	3,	28,0,5
127,127,127,	0.363030,-0.193382,0.911489,	3,	1,0,26
127,127,127,	0.696880,-0.716590,0.029280,	3,	29,6,1
127,127,127,	0.531181,0.546205,0.647693,	3,	6,29,11
127,127,127,	0.349147,0.356130,-0.866757,	3,	31,10,34
127,127,127,	0.349147,-0.356130,-0.866757,	3,	10,31,28
127,127,127,	0.345828,0.355610,0.868300,	3,	32,11,29
127,127,127,	0.345828,-0.355610,0.868300,	3,	1,26,29
127,127,127,	0.898951,0.230730,-0.372358,	3,	33,34,16
127,127,127,	0.898951,0.230730,0.372358,	3,	32,33,16
127,127,127,	0.905667,-0.197581,-0.375140,	3,	27,0,28
127,127,127,	0.905667,-0.197581,0.375140,	3,	26,0,27
127,127,127,	0.862856,-0.357407,-0.357407,	3,	27,28,31
127,127,127,	0.862856,0.357407,-0.357407,	3,	34,33,31
127,127,127,	0.229651,0.968613,0.095125,	3,	33,32,30
127,127,127,	0.195754,0.328017,0.924167,	3,	29,30,32
127,127,127,	0.156433,-0.985561,0.064797,	3,	26,27,30
127,127,127,	0.171556,-0.322863,0.930767,	3,	30,29,26
127,127,127,	0.111535,-0.702695,-0.702695,	3,	31,30,27
127,127,127,	0.165342,0.697374,-0.697375,	3,	30,31,33
127,127,127,	-0.835242,0.345968,0.427407,	3,	35,43,36
127,127,127,	-0.830267,-0.343908,0.438617,	3,	36,37,35
127,127,127,	-0.348831,0.842154,0.411210,	3,	42,43,35
127,127,127,	-0.343908,-0.830267,0.438617,	3,	37,38,35
127,127,127,	0.350816,0.846944,0.399517,	3,	41,42,35
127,127,127,	0.345969,-0.835242,0.427406,	3,	38,39,35
127,127,127,	0.846944,0.350816,0.399517,	3,	40,41,35
127,127,127,	0.842154,-0.348832,0.411210,	3,	39,40,35

END
