NVERTS 18
NFACES 32

VERTEX
-1, 0, -3
0, 0, 0
0, 1, -3
0, 0, -10
0, -1, -3
1, 0, -3
-0.714192, 0.714192, -3
0, 0.714192, -6.5
-0.714192, 0, -6.5
0, -0.714192, -6.5
0.714192, -0.714192, -3
0.714192, 0, -6.5
0.714192, 0.714192, -3
-0.714192, -0.714192, -3
0, -1, -0.5
1, 0, -0.5
0, 1, -0.5
-1, 0, -0.5

FACES
127,127,127,	-0.928454,-0.371448,-0.000057,	3,	13,17,0
127,127,127,	-0.928454,0.371448,-0.000057,	3,	0,17,6
127,127,127,	-0.925798,0.370386,-0.075578,	3,	0,6,8
127,127,127,	-0.925798,-0.370386,-0.075578,	3,	0,8,13
127,127,127,	-0.701974,0.701974,0.120265,	3,	17,16,6
127,127,127,	-0.701974,-0.701974,0.120265,	3,	14,17,13
127,127,127,	-0.699859,0.699859,-0.142808,	3,	6,7,8
127,127,127,	-0.699859,-0.699859,-0.142808,	3,	8,9,13
127,127,127,	-0.408221,0.408221,0.816524,	3,	17,1,16
127,127,127,	-0.408221,-0.408221,0.816524,	3,	14,1,17
127,127,127,	-0.371560,-0.928409,-0.000019,	3,	4,14,13
127,127,127,	-0.371560,0.928409,-0.000019,	3,	6,16,2
127,127,127,	-0.370497,0.925752,-0.075601,	3,	6,2,7
127,127,127,	-0.370497,-0.925752,-0.075601,	3,	13,9,4
127,127,127,	-0.699859,-0.699859,-0.142811,	3,	8,3,9
127,127,127,	-0.699859,0.699859,-0.142811,	3,	8,7,3
127,127,127,	0.371560,-0.928409,-0.000019,	3,	14,4,10
127,127,127,	0.371560,0.928409,-0.000019,	3,	12,2,16
127,127,127,	0.370497,-0.925752,-0.075601,	3,	10,4,9
127,127,127,	0.370497,0.925752,-0.075601,	3,	12,7,2
127,127,127,	0.699859,-0.699859,-0.142811,	3,	11,9,3
127,127,127,	0.699859,0.699859,-0.142811,	3,	11,3,7
127,127,127,	0.408221,-0.408221,0.816524,	3,	1,14,15
127,127,127,	0.408221,0.408221,0.816524,	3,	15,16,1
127,127,127,	0.699859,-0.699859,-0.142808,	3,	11,10,9
127,127,127,	0.699859,0.699859,-0.142808,	3,	12,11,7
127,127,127,	0.701974,-0.701974,0.120265,	3,	15,14,10
127,127,127,	0.701974,0.701974,0.120265,	3,	15,12,16
127,127,127,	0.925798,-0.370386,-0.075578,	3,	5,10,11
127,127,127,	0.925798,0.370386,-0.075578,	3,	5,11,12
127,127,127,	0.928454,-0.371448,-0.000057,	3,	15,10,5
127,127,127,	0.928454,0.371448,-0.000057,	3,	5,12,15

TEXTURES
metal.png	256 256	36.608000 179.200000	0.000000 243.200000	0.000000 179.200000
metal.png	256 256	0.000000 179.200000	0.000000 243.200000	36.608000 179.200000
metal.png	256 256	0.000000 179.200000	36.608000 179.200000	36.608000 89.600000
metal.png	256 256	0.000000 179.200000	36.608000 89.600000	36.608000 179.200000
metal.png	256 256	0.000000 243.200000	128.000000 243.200000	36.608000 179.200000
metal.png	256 256	128.000000 243.200000	0.000000 243.200000	36.608000 179.200000
metal.png	256 256	36.608000 179.200000	128.000000 89.600000	36.608000 89.600000
metal.png	256 256	36.608000 89.600000	128.000000 89.600000	36.608000 179.200000
metal.png	256 256	0.000000 243.200000	128.000000 256.000000	128.000000 243.200000
metal.png	256 256	128.000000 243.200000	128.000000 256.000000	0.000000 243.200000
metal.png	256 256	128.000000 179.200000	128.000000 243.200000	36.608000 179.200000
metal.png	256 256	36.608000 179.200000	128.000000 243.200000	128.000000 179.200000
metal.png	256 256	36.608000 179.200000	128.000000 179.200000	128.000000 89.600000
metal.png	256 256	36.608000 179.200000	128.000000 89.600000	128.000000 179.200000
metal.png	256 256	36.608000 89.600000	128.000000 0.000000	128.000000 89.600000
metal.png	256 256	36.608000 89.600000	128.000000 89.600000	128.000000 0.000000
metal.png	256 256	128.000000 243.200000	128.000000 179.200000	219.392000 179.200000
metal.png	256 256	219.392000 179.200000	128.000000 179.200000	128.000000 243.200000
metal.png	256 256	219.392000 179.200000	128.000000 179.200000	128.000000 89.600000
metal.png	256 256	219.392000 179.200000	128.000000 89.600000	128.000000 179.200000
metal.png	256 256	219.392000 89.600000	128.000000 89.600000	128.000000 0.000000
metal.png	256 256	219.392000 89.600000	128.000000 0.000000	128.000000 89.600000
metal.png	256 256	128.000000 256.000000	128.000000 243.200000	256.000000 243.200000
metal.png	256 256	256.000000 243.200000	128.000000 243.200000	128.000000 256.000000
metal.png	256 256	219.392000 89.600000	219.392000 179.200000	128.000000 89.600000
metal.png	256 256	219.392000 179.200000	219.392000 89.600000	128.000000 89.600000
metal.png	256 256	256.000000 243.200000	128.000000 243.200000	219.392000 179.200000
metal.png	256 256	256.000000 243.200000	219.392000 179.200000	128.000000 243.200000
metal.png	256 256	256.000000 179.200000	219.392000 179.200000	219.392000 89.600000
metal.png	256 256	256.000000 179.200000	219.392000 89.600000	219.392000 179.200000
metal.png	256 256	256.000000 243.200000	219.392000 179.200000	256.000000 179.200000
metal.png	256 256	256.000000 179.200000	219.392000 179.200000	256.000000 243.200000

END
