NVERTS 42
NFACES 80

VERTEX
68, 32, 0
48, 32, -48
0, 32, -68
164, -24, 0
116, -24, -116
0, -24, -164
0, 4, -116
24, 32, -58
58, 32, -24
116, 4, 0
140, -24, -58
58, -24, -140
82, 4, -82
0, 32, 0
0, -24, 0
-68, 32, 0
-48, 32, -48
-164, -24, 0
-116, -24, -116
-24, 32, -58
-58, 32, -24
-116, 4, 0
-140, -24, -58
-58, -24, -140
-82, 4, -82
48, 32, 48
0, 32, 68
116, -24, 116
0, -24, 164
0, 4, 116
24, 32, 58
58, 32, 24
140, -24, 58
58, -24, 140
82, 4, 82
-48, 32, 48
-116, -24, 116
-24, 32, 58
-58, 32, 24
-140, -24, 58
-58, -24, 140
-82, 4, 82

FACES
127,127,127,	-0.000000,1.000000,0.000000,	3,	15,38,13
127,127,127,	0.000000,1.000000,0.000000,	3,	13,20,15
127,127,127,	0.000000,1.000000,-0.000000,	3,	16,20,13
127,127,127,	0.000000,1.000000,-0.000000,	3,	13,38,35
127,127,127,	0.000000,1.000000,0.000000,	3,	13,19,16
127,127,127,	-0.000000,1.000000,0.000000,	3,	35,37,13
127,127,127,	0.000000,1.000000,-0.000000,	3,	2,19,13
127,127,127,	0.000000,1.000000,-0.000000,	3,	13,37,26
127,127,127,	0.000000,1.000000,0.000000,	3,	13,7,2
127,127,127,	0.000000,1.000000,0.000000,	3,	26,30,13
127,127,127,	0.000000,1.000000,0.000000,	3,	1,7,13
127,127,127,	-0.000000,1.000000,0.000000,	3,	13,30,25
127,127,127,	0.000000,1.000000,0.000000,	3,	13,8,1
127,127,127,	0.000000,1.000000,0.000000,	3,	25,31,13
127,127,127,	0.000000,1.000000,0.000000,	3,	0,8,13
127,127,127,	-0.000000,1.000000,0.000000,	3,	13,31,0
127,127,127,	-0.493264,0.845595,-0.204109,	3,	17,21,22
127,127,127,	-0.492757,0.845940,-0.203900,	3,	18,22,24
127,127,127,	-0.492864,0.845768,-0.204358,	3,	21,20,22
127,127,127,	-0.492864,0.845768,-0.204358,	3,	20,24,22
127,127,127,	-0.203900,0.845940,0.492757,	3,	36,40,41
127,127,127,	-0.493120,0.845349,-0.205467,	3,	15,20,21
127,127,127,	-0.491899,0.846184,-0.204958,	3,	16,24,20
127,127,127,	-0.204358,0.845768,0.492864,	3,	37,41,40
127,127,127,	-0.204958,0.846184,0.491899,	3,	35,41,37
127,127,127,	-0.204358,0.845768,0.492864,	3,	29,37,40
127,127,127,	-0.204109,0.845595,0.493264,	3,	28,29,40
127,127,127,	-0.205467,0.845349,0.493120,	3,	26,37,29
127,127,127,	0.205467,0.845349,-0.493120,	3,	2,7,6
127,127,127,	0.204109,0.845595,-0.493264,	3,	5,6,11
127,127,127,	0.204358,0.845768,-0.492864,	3,	6,7,11
127,127,127,	0.204958,0.846184,-0.491899,	3,	1,12,7
127,127,127,	0.204358,0.845768,-0.492864,	3,	7,12,11
127,127,127,	0.491899,0.846184,0.204958,	3,	25,34,31
127,127,127,	0.493120,0.845349,0.205467,	3,	0,31,9
