NVERTS 12
NFACES 20

VERTEX
12.8000002, 0.6, 41.1699982
-12.8000002, 0.6, 41.1699982
0, 11, 20.3700008
-48, -0.6, 7.5700006
48, -0.6, 7.5700006
-35.2000008, 7, -5.2299995
35.2000008, 7, -5.2299995
51.2000008, -2.5999999, -5.2299995
-51.2000008, -2.5999999, -5.2699986
0, 11, -5.2699986
-12.8000002, -9, -5.2699986
12.8000002, -9, -5.2699986

FACES
127,127,127,	-0.514479,0.857487,-0.005346,	3,	8,3,5
127,127,127,	-0.161371,-0.968228,0.191032,	3,	10,3,8
127,127,127,	-0.283418,0.921946,0.263988,	3,	3,1,5
127,127,127,	-0.001986,0.007476,-0.999970,	3,	5,9,8
127,127,127,	-0.157847,-0.967018,0.199900,	3,	10,1,3
127,127,127,	0.000000,-0.000000,-1.000000,	3,	8,9,10
127,127,127,	-0.301363,0.914023,0.271557,	3,	5,1,2
127,127,127,	-0.112910,0.993605,0.000000,	3,	5,2,9
127,127,127,	0.000000,-0.979295,0.202438,	3,	10,0,1
127,127,127,	-0.000000,0.894427,0.447214,	3,	1,0,2
127,127,127,	0.000000,0.000000,-1.000000,	3,	10,9,11
127,127,127,	0.000000,-0.979295,0.202438,	3,	10,11,0
127,127,127,	0.112910,0.993605,-0.000000,	3,	9,2,6
127,127,127,	0.301363,0.914023,0.271557,	3,	2,0,6
127,127,127,	0.000941,0.000602,-0.999999,	3,	11,9,7
127,127,127,	0.157847,-0.967018,0.199900,	3,	11,4,0
127,127,127,	0.001402,0.002336,-0.999996,	3,	7,9,6
127,127,127,	0.283418,0.921946,0.263988,	3,	6,0,4
127,127,127,	0.161160,-0.968158,0.191565,	3,	7,4,11
127,127,127,	0.514488,0.857481,-0.005359,	3,	6,4,7

END
